source_id,citation,database,landing_url,direct_download_url,doi,pmcid,pmid,licence,redistribution,we_may_redistribute,local_extracted_copy,n_measurements,access_note
COG-S046,"RYTELO (imetelstat) for injection, for intravenous use - US Prescribing Information. Geron Corporation. Medication Guide issued 6/2024.",DailyMed,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b0fab7ca-e578-43c5-9df6-bdaff4182257,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=b0fab7ca-e578-43c5-9df6-bdaff4182257&type=pdf,,,,"US Government work / FDA-approved labeling, no copyright",public_domain,yes,sources/documents/dailymed_imetelstat_rytelo_b0fab7ca-e578-43c5-9df6-bdaff4182257.xml,9,"US prescribing information - public domain, direct PDF."
COG-S047,"TRYNGOLZA (olezarsen) injection, for subcutaneous use - US Prescribing Information. Ionis Pharmaceuticals, Inc. Patient Information revised 06/2026.",DailyMed,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0f51aa8e-8475-8cf9-e063-6394a90a6848,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=0f51aa8e-8475-8cf9-e063-6394a90a6848&type=pdf,,,,"US Government work / FDA-approved labeling, no copyright",public_domain,yes,sources/documents/dailymed_olezarsen_tryngolza_0f51aa8e-8475-8cf9-e063-6394a90a6848.xml,5,"US prescribing information - public domain, direct PDF."
COG-S048,"DAWNZERA (donidalorsen) injection, for subcutaneous use - US Prescribing Information. Ionis Pharmaceuticals, Inc.",DailyMed,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3ff501e0-f75f-07da-e063-6294a90a0cb7,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=3ff501e0-f75f-07da-e063-6294a90a0cb7&type=pdf,,,,"US Government work / FDA-approved labeling, no copyright",public_domain,yes,sources/documents/dailymed_donidalorsen_dawnzera_3ff501e0-f75f-07da-e063-6294a90a0cb7.xml,7,"US prescribing information - public domain, direct PDF."
COG-S049,"SPINRAZA (nusinersen) injection, for intrathecal use - US Prescribing Information. Biogen.",DailyMed,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=dd70cd5f-b0fc-4ba4-a5ea-89a34778bd94,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=dd70cd5f-b0fc-4ba4-a5ea-89a34778bd94&type=pdf,,,,"US Government work / FDA-approved labeling, no copyright",public_domain,yes,sources/documents/dailymed_nusinersen_spinraza_dd70cd5f-b0fc-4ba4-a5ea-89a34778bd94.xml,7,"US prescribing information - public domain, direct PDF."
COG-S050,"NEGATIVE CONTROL - WAINUA (eplontersen) injection, for subcutaneous use - US Prescribing Information. AstraZeneca / Ionis.",DailyMed,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d7dcb847-71dd-4fff-82d0-d43a465fc096,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=d7dcb847-71dd-4fff-82d0-d43a465fc096&type=pdf,,,,"US Government work / FDA-approved labeling, no copyright",public_domain,yes,sources/documents/dailymed_eplontersen_wainua_d7dcb847-71dd-4fff-82d0-d43a465fc096.xml,1,"US prescribing information - public domain, direct PDF."
COG-S051,"NEGATIVE CONTROL - QALSODY (tofersen) injection, for intrathecal use - US Prescribing Information. Biogen.",DailyMed,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=81356b45-1cb7-4eef-88ea-e44cc18b47c5,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=81356b45-1cb7-4eef-88ea-e44cc18b47c5&type=pdf,,,,"US Government work / FDA-approved labeling, no copyright",public_domain,yes,sources/documents/dailymed_tofersen_qalsody_81356b45-1cb7-4eef-88ea-e44cc18b47c5.xml,1,"US prescribing information - public domain, direct PDF."
COG-S052,"NEGATIVE CONTROL - ONPATTRO (patisiran) injection, lipid complex, for intravenous use - US Prescribing Information. Alnylam Pharmaceuticals.",DailyMed,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e87ec36f-b4b4-49d4-aea4-d4ffb09b0970,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=e87ec36f-b4b4-49d4-aea4-d4ffb09b0970&type=pdf,,,,"US Government work / FDA-approved labeling, no copyright",public_domain,yes,sources/documents/dailymed_patisiran_onpattro_e87ec36f-b4b4-49d4-aea4-d4ffb09b0970.xml,2,"US prescribing information - public domain, direct PDF."
COG-S053,"NEGATIVE CONTROL (chemistry class) - Phosphorodiamidate morpholino oligomer exon-skipping US Prescribing Information: EXONDYS 51 (eteplirsen), VYONDYS 53 (golodirsen), VILTEPSO (viltolarsen), AMONDYS 45 (casimersen). Sarepta Therapeutics / NS Pharma.",EMA,https://www.ema.europa.eu/en/medicines,,,,,"US Government work / FDA-approved labeling, no copyright",public_domain,yes,sources/documents/dailymed_eteplirsen_exondys_33bff678-7829-479e-9110-b8e33a0bc0aa.xml,4,"EMA assessment report - search the product name, then 'Assessment report'. Free to download; reuse permitted with acknowledgement."
COG-S054,"NEGATIVE CONTROL (delivery-platform class) - GalNAc-conjugated siRNA US Prescribing Information: GIVLAARI (givosiran), OXLUMO (lumasiran), LEQVIO (inclisiran), AMVUTTRA (vutrisiran), RIVFLOZA (nedosiran), REDEMPLO (plozasiran).",EMA,https://www.ema.europa.eu/en/medicines,,,,,"US Government work / FDA-approved labeling, no copyright",public_domain,yes,sources/documents/dailymed_givosiran_givlaari_167e663c-11e1-497b-a3fc-951d65d58eaa.xml,7,"EMA assessment report - search the product name, then 'Assessment report'. Free to download; reuse permitted with acknowledgement."
COG-S055,"Younis HS, Crosby J, Huh JI, Lee HS, Rime S, Monia B, Henry SP. Antisense inhibition of coagulation factor XI prolongs APTT without increased bleeding risk in cynomolgus monkeys. Blood. 2012 Mar 8;119(10):2401-8.",PubMed,https://pubmed.ncbi.nlm.nih.gov/22246038/,,10.1182/blood-2011-10-387134,,22246038,Abstract NLM-distributed; article copyright American Society of Hematology 2012,publisher_restricted,no,sources/documents/pubmed_22246038.txt,6,Abstract only in this release; use the landing page for the full text.
COG-S056,"Yacyshyn BR, Barish C, Goff J, Dalke D, Gaspari M, Yu R, Tami J, Dorr FA, Sewell KL. Dose ranging pharmacokinetic trial of high-dose alicaforsen (intercellular adhesion molecule-1 antisense oligodeoxynucleotide) (ISIS 2302) in active Crohn's disease. Aliment Pharmacol Ther. 2002 Oct;16(10):1761-70.",PubMed,https://pubmed.ncbi.nlm.nih.gov/12269969/,,10.1046/j.1365-2036.2002.01341.x,,12269969,Abstract NLM-distributed; article copyright Blackwell Science/Wiley 2002,publisher_restricted,no,sources/documents/pubmed_abstracts_clinical_aso.txt,3,Abstract only in this release; use the landing page for the full text.
COG-S057,"Sheehan JP, Lan HC. Phosphorothioate oligonucleotides inhibit the intrinsic tenase complex. Blood. 1998 Sep 1;92(5):1617-25.",PubMed,https://pubmed.ncbi.nlm.nih.gov/9716589/,,,,9716589,Abstract NLM-distributed; article copyright American Society of Hematology 1998,publisher_restricted,no,sources/documents/pubmed_9716589.txt,11,Abstract only in this release; use the landing page for the full text.
COG-S058,"Sheehan JP, Phan TM. Phosphorothioate oligonucleotides inhibit the intrinsic tenase complex by an allosteric mechanism. Biochemistry. 2001 Apr 24;40(16):4980-9.",PubMed,https://pubmed.ncbi.nlm.nih.gov/11305914/,,10.1021/bi002396x,,11305914,Abstract NLM-distributed; article copyright American Chemical Society 2001,publisher_restricted,no,sources/documents/SHEEHAN2001_Biochem_pmid11305914_abstract.txt,9,Abstract only in this release; use the landing page for the full text.
COG-S059,"Ohara M, Nagata T, Hara RI, Yoshida-Tanaka K, Toide N, Takagi K, Sato K, Takenaka T, Nakakariya M, Miyata K, Maeda Y, Toh K, Wada T, Yokota T. DNA/RNA heteroduplex technology with cationic oligopeptide reduces class-related adverse effects of nucleic acid drugs. Mol Ther Nucleic Acids. 2024;35(3):102289.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC11382116/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11382116/fullTextXML,10.1016/j.omtn.2024.102289,PMC11382116,39252874,CC BY-NC-ND 4.0,CC_BY_NC_ND,yes,sources/documents/PMC11382116.xml,15,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
COG-S060,"Relizani K, Echevarria L, Zarrouki F, Gastaldi C, Dambrune C, Aupy P, Haeberli A, Komisarski M, Tensorer T, Larcher T, Svinartchouk F, Vaillend C, Garcia L, Goyenvalle A. Palmitic acid conjugation enhances potency of tricyclo-DNA splice switching oligonucleotides. Nucleic Acids Res. 2022;50(1):17-.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC8754652/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8754652/fullTextXML,10.1093/nar/gkab1199,PMC8754652,34893881,CC BY 4.0 (Oxford University Press / Nucleic Acids Research),CC_BY,yes,sources/documents/PMC8754652.xml,8,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
COG-S061,"Aupy P, Echevarria L, Relizani K, Zarrouki F, Haeberli A, Komisarski M, Tensorer T, Jouvion G, Svinartchouk F, Garcia L, Goyenvalle A. Identifying and Avoiding tcDNA-ASO Sequence-Specific Toxicity for the Development of DMD Exon 51 Skipping Therapy. Mol Ther Nucleic Acids. 2020;19:371-383.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC7063478/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7063478/fullTextXML,10.1016/j.omtn.2019.11.020,PMC7063478,31881528,CC BY 4.0,CC_BY,yes,sources/documents/PMC7063478.xml,10,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
COG-S062,"Henry SP, Novotny W, Leeds J, Auletta C, Kornbrust DJ. Inhibition of coagulation by a phosphorothioate oligonucleotide. Antisense Nucleic Acid Drug Dev. 1997 Oct;7(5):503-10.",PubMed,https://pubmed.ncbi.nlm.nih.gov/9361909/,,10.1089/oli.1.1997.7.503,,9361909,Abstract NLM-distributed; article copyright Mary Ann Liebert 1997,publisher_restricted,no,sources/documents/pubmed_9361909.txt,10,Abstract only in this release; use the landing page for the full text.
COG-S063,"Shaw DR, Rustagi PK, Kandimalla ER, Manning AN, Jiang Z, Agrawal S. Effects of synthetic oligonucleotides on human complement and coagulation. Biochem Pharmacol. 1997 Apr 25;53(8):1123-32.",PubMed,https://pubmed.ncbi.nlm.nih.gov/9175717/,,10.1016/s0006-2952(97)00091-9,,9175717,Abstract NLM-distributed; article copyright Elsevier 1997,publisher_restricted,no,sources/documents/pubmed_shaw1997.txt,6,Abstract only in this release; use the landing page for the full text.
COG-S064,"Agrawal S, Rustagi PK, Shaw DR. Novel enzymatic and immunological responses to oligonucleotides. Toxicol Lett. 1995 Dec;82-83:431-4.",PubMed,https://pubmed.ncbi.nlm.nih.gov/8597089/,,10.1016/0378-4274(95)03573-7,,8597089,Abstract NLM-distributed; article copyright Elsevier 1995,publisher_restricted,no,sources/documents/pubmed_shaw1997.txt,4,Abstract only in this release; use the landing page for the full text.
COG-S065,"Schmidt M, Hagner N, Marco A, Koenig-Merediz SA, Schroff M, Wittig B. Design and Structural Requirements of the Potent and Safe TLR-9 Agonistic Immunomodulator MGN1703. Nucleic Acid Ther. 2015;25(3):130-.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC4440985/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4440985/fullTextXML,10.1089/nat.2015.0533,PMC4440985,25826686,CC BY 4.0 (Mary Ann Liebert open access),CC_BY,yes,sources/documents/PMC4440985.xml,2,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
COG-S066,"Peters S, Wirkert E, Kuespert S, Heydn R, Johannesen S, Friedrich A, Mailaender S, Korte S, Mecklenburg L, Aigner L, Bruun TH, Bogdahn U. Safe and Effective Cynomolgus Monkey GLP-Tox Study with Repetitive Intrathecal Application of a TGFBR2 Targeting LNA-Gapmer Antisense Oligonucleotide as Treatment Candidate for Neurodegenerative Disorders. Pharmaceutics. 2022;14(1):200.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC8780845/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8780845/fullTextXML,10.3390/pharmaceutics14010200,PMC8780845,35057094,CC BY 4.0 (MDPI),CC_BY,yes,sources/documents/PMC8780845.xml,2,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
COG-S067,"Henry SP, Bolte H, Auletta C, Kornbrust DJ. Evaluation of the toxicity of ISIS 2302, a phosphorothioate oligonucleotide, in a four-week study in cynomolgus monkeys. Toxicology. 1997 Jun 27;120(2):145-55.",PubMed,https://pubmed.ncbi.nlm.nih.gov/9184201/,,10.1016/s0300-483x(97)03661-5,,9184201,Abstract NLM-distributed; article copyright Elsevier 1997,publisher_restricted,no,sources/documents/pubmed_9184201.txt,5,Abstract only in this release; use the landing page for the full text.
COG-S068,"Burel SA, Han SR, Lee HS, Norris DA, Lee BS, Machemer T, Park SY, Zhou T, He G, Kim Y, MacLeod AR, Monia BP, Lio S, Kim TW, Henry SP. Preclinical evaluation of the toxicological effects of a novel constrained ethyl modified antisense compound targeting signal transducer and activator of transcription 3 in mice and cynomolgus monkeys. Nucleic Acid Ther. 2013 Jun;23(3):213-27.",PubMed,https://pubmed.ncbi.nlm.nih.gov/23692080/,,10.1089/nat.2013.0422,,23692080,Abstract NLM-distributed; article copyright Mary Ann Liebert 2013,publisher_restricted,no,sources/documents/pubmed_23692080.txt,3,Abstract only in this release; use the landing page for the full text.
COG-S069,"Glover JM, Leeds JM, Mant TG, Amin D, Kisner DL, Zuckerman JE, Geary RS, Levin AA, Shanahan WR Jr. Phase I safety and pharmacokinetic profile of an intercellular adhesion molecule-1 antisense oligodeoxynucleotide (ISIS 2302). J Pharmacol Exp Ther. 1997 Sep;282(3):1173-80.",PubMed,https://pubmed.ncbi.nlm.nih.gov/9316823/,,,,9316823,Abstract NLM-distributed; article copyright ASPET 1997,publisher_restricted,no,sources/documents/pubmed_abstracts_clinical_aso.txt,1,Abstract only in this release; use the landing page for the full text.
COG-S070,"Sereni D, Tubiana R, Lascoux C, Katlama C, Taulera O, Bourque A, Cohen A, Dvorchik B, Martin RR, Tournerie C, Gouyette A, Schechter PJ. Pharmacokinetics and tolerability of intravenous trecovirsen (GEM 91), an antisense phosphorothioate oligonucleotide, in HIV-positive subjects. J Clin Pharmacol. 1999 Jan;39(1):47-54.",PubMed,https://pubmed.ncbi.nlm.nih.gov/9987700/,,10.1177/00912709922007552,,9987700,Abstract NLM-distributed; article copyright ACCP/Wiley 1999,publisher_restricted,no,sources/documents/SERENI1999_GEM91_pmid9987700_abstract.txt,1,Abstract only in this release; use the landing page for the full text.
COG-S071,[Author byline not present in the retrieved file and therefore not asserted.] siRNA-mediated reduction of a circulating protein in swine using lipid nanoparticles. Mol Ther Methods Clin Dev. 2024;101258.,PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC11109470/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11109470/fullTextXML,10.1016/j.omtm.2024.101258,PMC11109470,38779336,CC BY-NC-ND,CC_BY_NC_ND,yes,sources/documents/PMC11109470_abstract.txt,2,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
COG-S072,"Braendli-Baiocco A, Festag M, Dumong Erichsen K, Persson R, Mihatsch MJ, Fisker N, Funk J, Mohr S, Constien R, Ploix C, Brady K, Berrera M, Altmann B, Lenz B, Albassam M, Schmitt G, Weiser T, Schuler F, Singer T, Tessier Y. From the Cover: The Minipig is a Suitable Non-Rodent Model in the Safety Assessment of Single Stranded Oligonucleotides. Toxicological Sciences 2017;157(1):112-128.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC5414856/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5414856/fullTextXML,10.1093/toxsci/kfx025,PMC5414856,28123102,"Creative Commons Attribution-NonCommercial-NoDerivs 4.0 (CC BY-NC-ND 4.0). (c) The Author 2017, published by Oxford University Press on behalf of the Society of Toxicology.",CC_BY_NC_ND,yes,sources/documents/PMC5414856.xml,23,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
COG-S073,"Zavyalova E, Samoylenkova N, Revishchin A, Turashev A, Gordeychuk I, Golovin A, Kopylov A, Pavlova G. The Evaluation of Pharmacodynamics and Pharmacokinetics of Anti-thrombin DNA Aptamer RA-36. Frontiers in Pharmacology 2017;8:922.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC5735248/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5735248/fullTextXML,10.3389/fphar.2017.00922,PMC5735248,29311929,Creative Commons Attribution License (CC BY) - Frontiers Media SA. Permissions statement present in the XML.,CC_BY,yes,sources/documents/PMC5735248.xml,39,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
COG-S074,"Nagano M, Kubota K, Sakata A, Nakamura R, Yoshitomi T, Wakui K, Yoshimoto K. A neutralizable dimeric anti-thrombin aptamer with potent anticoagulant activity in mice. Molecular Therapy Nucleic Acids 2023;33:659-671.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC10445101/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10445101/fullTextXML,10.1016/j.omtn.2023.07.038,PMC10445101,37621412,"CC BY 4.0 (open access under the Creative Commons Attribution license, per the copyright statement in the XML)",CC_BY,yes,sources/documents/PMC10445101.xml,80,Open access - full text retrievable as XML; the publisher PDF is on the landing page.
COG-S075,"Monia BP, Freier SM, Wancewicz EV, et al. (assignee Isis Pharmaceuticals, Inc.). Modulation of transthyretin expression. United States Patent US 9,061,044 B2, granted 23 June 2015. Example 24, 'Effect of ISIS Antisense Oligonucleotides Targeting Human Transthyretin in Cynomolgus Monkeys', subsection 'Coagulation Tests', Tables 86-88.",USPTO,https://patents.google.com/patent/US9061044,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9061044,,,,United States federal government work product - the text of a granted US patent is not subject to copyright (17 U.S.C. 105 / USPTO grant text is public domain).,public_domain,yes,sources/documents/US9061044.txt,129,"US patent - public domain, direct PDF."
COG-S076,"European Medicines Agency, Committee for Medicinal Products for Human Use (CHMP). Assessment report: Waylivra (volanesorsen), International non-proprietary name: volanesorsen, Procedure No. EMEA/H/C/004538/0000. 28 February 2019.",EMA,https://www.ema.europa.eu/en/medicines,,,,,EMA document; reuse permitted with acknowledgement of source but not dedicated to the public domain,publisher_restricted,no,sources/documents/waylivra_EPAR_assessment_report.txt,17,"EMA assessment report - search the product name, then 'Assessment report'. Free to download; reuse permitted with acknowledgement."
COG-S077,"Akcea Therapeutics Ireland Ltd. WAYLIVRA (volanesorsen) EU Risk Management Plan, CTD Module 1.8.2, Version 3.0, 24 February 2025 (published as part of the Waylivra EPAR).",EMA,https://www.ema.europa.eu/en/medicines,,,,,EMA/marketing-authorisation-holder document published by EMA; not public domain,publisher_restricted,no,sources/documents/waylivra_EPAR_RMP.txt,7,"EMA assessment report - search the product name, then 'Assessment report'. Free to download; reuse permitted with acknowledgement."
COG-S078,"European Medicines Agency. Waylivra (volanesorsen) Product Information: Annex I Summary of Product Characteristics, Annex II, Annex III Labelling and Package Leaflet.",EMA,https://www.ema.europa.eu/en/medicines,,,,,EMA document; reuse permitted with acknowledgement of source but not dedicated to the public domain,publisher_restricted,no,sources/documents/waylivra_EPAR_product_information.txt,2,"EMA assessment report - search the product name, then 'Assessment report'. Free to download; reuse permitted with acknowledgement."
COG-S079,"European Medicines Agency, Committee for Medicinal Products for Human Use (CHMP). Assessment report: Tegsedi (inotersen), Procedure No. EMEA/H/C/004782/0000. 2018.",EMA,https://www.ema.europa.eu/en/medicines,,,,,EMA document; reuse permitted with acknowledgement of source but not dedicated to the public domain,publisher_restricted,no,sources/documents/tegsedi_AR.txt,11,"EMA assessment report - search the product name, then 'Assessment report'. Free to download; reuse permitted with acknowledgement."
COG-S080,"Mentari E. Clinical Safety Review (Medical Review), NDA 211172, Tegsedi (inotersen). U.S. Food and Drug Administration, Center for Drug Evaluation and Research. Reference ID: 4330662.",Drugs@FDA,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=211172,,,,,Work of the U.S. federal government,public_domain,yes,sources/documents/fda_tegsedi_inotersen_211172_MedR.txt,7,"FDA review package - public domain. Open the application, then the 'Approval History, Letters, Reviews' tab and take the named review."
COG-S081,"Clinical Pharmacology Review, NDA 211172, Tegsedi (inotersen). U.S. Food and Drug Administration, Center for Drug Evaluation and Research. Reference ID: 4282036.",Drugs@FDA,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=211172,,,,,Work of the U.S. federal government,public_domain,yes,sources/documents/fda_tegsedi_inotersen_211172_ClinPharmR.txt,1,"FDA review package - public domain. Open the application, then the 'Approval History, Letters, Reviews' tab and take the named review."
COG-S082,"European Medicines Agency, Committee for Medicinal Products for Human Use (CHMP). Assessment report: Dawnzera (donidalorsen). 2025.",EMA,https://www.ema.europa.eu/en/medicines,,,,,EMA document; reuse permitted with acknowledgement of source but not dedicated to the public domain,publisher_restricted,no,sources/documents/dawnzera_AR.txt,21,"EMA assessment report - search the product name, then 'Assessment report'. Free to download; reuse permitted with acknowledgement."
COG-S083,"European Medicines Agency, Committee for Medicinal Products for Human Use (CHMP). Assessment report: Amvuttra (vutrisiran). 2022.",EMA,https://www.ema.europa.eu/en/medicines,,,,,EMA document; reuse permitted with acknowledgement of source but not dedicated to the public domain,publisher_restricted,no,sources/documents/amvuttra_AR.txt,4,"EMA assessment report - search the product name, then 'Assessment report'. Free to download; reuse permitted with acknowledgement."
COG-S084,"Astellas Pharma US, Inc. IZERVAY (avacincaptad pegol) intravitreal solution — US Prescribing Information, SPL version 9, effective 2026-02-27. Retrieved as an openFDA drug/label API record (openFDA index last_updated 2026-09-02).",openFDA,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=217225,,,,,"openFDA / U.S. FDA. Terms https://open.fda.gov/terms/ ; licence https://open.fda.gov/license/ . openFDA data are U.S. Government works placed in the public domain (CC0-equivalent). File carries the openFDA disclaimer verbatim: ""Do not rely on openFDA to make decisions regarding medical care. While we make every effort to ensure that data is accurate, you should assume all results are unvalidated.""",public_domain,yes,sources/documents/label_izervay_avacincaptad.json,5,"FDA review package - public domain. Open the application, then the 'Approval History, Letters, Reviews' tab and take the named review."
COG-S085,"Locally computed FAERS disproportionality table over oligonucleotide therapeutics and coagulation MedDRA preferred terms, built from openFDA drug/event API counts (FAERS grand total 20,692,690 reports at query time). Generated by /home/user/coag-staging/human/faers/prr.py.",openFDA,https://open.fda.gov/apis/drug/event/,,,,,"openFDA / U.S. FDA. Terms https://open.fda.gov/terms/ ; licence https://open.fda.gov/license/ . openFDA data are U.S. Government works placed in the public domain (CC0-equivalent). File carries the openFDA disclaimer verbatim: ""Do not rely on openFDA to make decisions regarding medical care. While we make every effort to ensure that data is accurate, you should assume all results are unvalidated."" Derived counts recomputed locally; underlying data public domain.",public_domain,yes,sources/documents/faers_coag_signal_table.csv,57,"Query output, not a paper. Reproduce with the query recorded in the row's notes."
COG-S086,"Individual FAERS case records (openFDA drug/event) for ten oligonucleotide-drug x coagulation-PT pairs, up to 5 records per pair. Generated by /home/user/coag-staging/human/faers/pull_cases.py.",openFDA,https://open.fda.gov/apis/drug/event/,,,,,"openFDA / U.S. FDA. Terms https://open.fda.gov/terms/ ; licence https://open.fda.gov/license/ . openFDA data are U.S. Government works placed in the public domain (CC0-equivalent). File carries the openFDA disclaimer verbatim: ""Do not rely on openFDA to make decisions regarding medical care. While we make every effort to ensure that data is accurate, you should assume all results are unvalidated.""",public_domain,yes,sources/documents/faers_case_records.json,32,"Query output, not a paper. Reproduce with the query recorded in the row's notes."
COG-S087,Individual FAERS case records (openFDA drug/event) for MACUGEN (pegaptanib sodium) x four coagulation MedDRA preferred terms.,openFDA,https://open.fda.gov/apis/drug/event/,,,,,"openFDA / U.S. FDA. Terms https://open.fda.gov/terms/ ; licence https://open.fda.gov/license/ . openFDA data are U.S. Government works placed in the public domain (CC0-equivalent). File carries the openFDA disclaimer verbatim: ""Do not rely on openFDA to make decisions regarding medical care. While we make every effort to ensure that data is accurate, you should assume all results are unvalidated.""",public_domain,yes,sources/documents/faers_pegaptanib_cases.json,7,"Query output, not a paper. Reproduce with the query recorded in the row's notes."
COG-S088,"Craig EM. Clinical Review (Medical Review), NDA 203568, Kynamro (mipomersen sodium) injection. U.S. Food and Drug Administration, Center for Drug Evaluation and Research, 2012-2013. Reference ID: 3221077. Contains named section 7.3.5.7 'Coagulation and Platelet Issues'.",Drugs@FDA,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203568,,,,,Work of the U.S. Government (FDA/CDER review document); no copyright.,public_domain,yes,sources/documents/fda_kynamro_mipomersen_203568_MedR.txt,20,"FDA review package - public domain. Open the application, then the 'Approval History, Letters, Reviews' tab and take the named review."
COG-S089,"Clinical Pharmacology and Biopharmaceutics Review(s), NDA 203568, Kynamro (mipomersen sodium). U.S. Food and Drug Administration, CDER, 2012. Reference IDs: 3224357 and 3135183. Contains the mipomersen-warfarin drug-drug interaction study MIPO2900509 with INR pharmacodynamic results (Table 10).",Drugs@FDA,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203568,,,,,Work of the U.S. Government (FDA/CDER review document); no copyright.,public_domain,yes,sources/documents/fda_kynamro_mipomersen_203568_ClinPharmR.txt,2,"FDA review package - public domain. Open the application, then the 'Approval History, Letters, Reviews' tab and take the named review."
COG-S090,"Medical Review, NDA 209531, Spinraza (nusinersen) injection. U.S. Food and Drug Administration, CDER, 2016. Bound volume containing the Clinical Safety Review by Evelyn Mentari MD MS (Reference ID 4027874, includes named section 8.4.6.3 'Coagulation Laboratory Measurements'), the Safety Team Leader memorandum (Reference ID 4028770) and the Clinical Review by Rainer W. Paine MD PhD (Reference ID 4026626).",Drugs@FDA,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=209531,,,,,Work of the U.S. Government (FDA/CDER review document); no copyright.,public_domain,yes,sources/documents/fda_spinraza_nusinersen_209531_MedR.txt,6,"FDA review package - public domain. Open the application, then the 'Approval History, Letters, Reviews' tab and take the named review."
COG-S091,"Committee for Medicinal Products for Human Use (CHMP). Assessment report: Kynamro (mipomersen), solution for injection 189 mg. Procedure No. EMEA/H/C/002429/0000. EMA/305826/2013, London, 21 March 2013. European Medicines Agency.",EMA,https://www.ema.europa.eu/en/medicines,,,,,"European Medicines Agency document. No copyright/reuse statement is printed in the text layer of this particular PDF; EMA's standard statement ('Reproduction is authorised provided the source is acknowledged') is NOT present in this file, so the licence is not asserted here.",unresolved,no,sources/documents/kynamro_AR.txt,2,"EMA assessment report - search the product name, then 'Assessment report'. Free to download; reuse permitted with acknowledgement."
COG-S092,"Committee for Medicinal Products for Human Use (CHMP). Assessment report: Spinraza (nusinersen). Procedure No. EMEA/H/C/004312/0000. EMA/289068/2017, 21 April 2017. European Medicines Agency.",EMA,https://www.ema.europa.eu/en/medicines,,,,,"'(c) European Medicines Agency, 2017. Reproduction is authorised provided the source is acknowledged.' (printed on p.1 of the document) - an attribution-only reuse permission.",CC_BY,yes,sources/documents/spinraza_AR.txt,3,"EMA assessment report - search the product name, then 'Assessment report'. Free to download; reuse permitted with acknowledgement."
