source_id,citation,identifier,document_file,retrieval_route,licence,redistribution,extraction_bundle,n_oligos,n_measurements
COG-S050,"NEGATIVE CONTROL - WAINUA (eplontersen) injection, for subcutaneous use - US Prescribing Information. AstraZeneca / Ionis.",DailyMed setid d7dcb847-71dd-4fff-82d0-d43a465fc096 | SPL v20 2026-04-30,dailymed_eplontersen_wainua_d7dcb847-71dd-4fff-82d0-d43a465fc096.xml,NLM DailyMed SPL XML download,"US Government work / FDA-approved labeling, no copyright",public_domain,labels,1,1
COG-S051,"NEGATIVE CONTROL - QALSODY (tofersen) injection, for intrathecal use - US Prescribing Information. Biogen.",DailyMed setid 81356b45-1cb7-4eef-88ea-e44cc18b47c5 | SPL v3 2024-11-18,dailymed_tofersen_qalsody_81356b45-1cb7-4eef-88ea-e44cc18b47c5.xml,NLM DailyMed SPL XML download,"US Government work / FDA-approved labeling, no copyright",public_domain,labels,1,1
COG-S052,"NEGATIVE CONTROL - ONPATTRO (patisiran) injection, lipid complex, for intravenous use - US Prescribing Information. Alnylam Pharmaceuticals.",DailyMed setid e87ec36f-b4b4-49d4-aea4-d4ffb09b0970 | SPL v11 2025-09-29,dailymed_patisiran_onpattro_e87ec36f-b4b4-49d4-aea4-d4ffb09b0970.xml,NLM DailyMed SPL XML download; truncated-basename duplicate present at dailymed_e87ec36f.xml,"US Government work / FDA-approved labeling, no copyright",public_domain,labels,1,2
COG-S053,"NEGATIVE CONTROL (chemistry class) - Phosphorodiamidate morpholino oligomer exon-skipping US Prescribing Information: EXONDYS 51 (eteplirsen), VYONDYS 53 (golodirsen), VILTEPSO (viltolarsen), AMONDYS 45 (casimersen). Sarepta Therapeutics / NS Pharma.",DailyMed setids 33bff678-7829-479e-9110-b8e33a0bc0aa (eteplirsen); 35c227d1-5b24-44b0-b5d3-f0f6b1c46bd5 (golodirsen); 1ffff9a8-6d6a-4dcb-8493-1b6cc3a5d123 (viltolarsen); e9e5fd44-eeda-4580-bba1-a734828bbcc3 (casimersen),dailymed_eteplirsen_exondys_33bff678-7829-479e-9110-b8e33a0bc0aa.xml,"NLM DailyMed SPL XML download, four separate labels bundled under one source key","US Government work / FDA-approved labeling, no copyright",public_domain,labels,4,4
COG-S054,"NEGATIVE CONTROL (delivery-platform class) - GalNAc-conjugated siRNA US Prescribing Information: GIVLAARI (givosiran), OXLUMO (lumasiran), LEQVIO (inclisiran), AMVUTTRA (vutrisiran), RIVFLOZA (nedosiran), REDEMPLO (plozasiran).",DailyMed setids 167e663c-11e1-497b-a3fc-951d65d58eaa (givosiran); 16985a31-f5e4-4557-9266-fc78d4bc5055 (lumasiran); 6fc0afca-4513-4c35-b594-6544aee29a44 (inclisiran); 8db0facb-81b6-4006-9239-27dc6409c5d3 (vutrisiran); ace9d4bc-4d20-4beb-9e9d-888690424833 (nedosiran); 7fd37993-f85a-4af1-8bbe-133299f226ed (plozasiran),dailymed_givosiran_givlaari_167e663c-11e1-497b-a3fc-951d65d58eaa.xml,"NLM DailyMed SPL XML download, six separate labels bundled under one source key","US Government work / FDA-approved labeling, no copyright",public_domain,labels,6,7
COG-S055,"Younis HS, Crosby J, Huh JI, Lee HS, Rime S, Monia B, Henry SP. Antisense inhibition of coagulation factor XI prolongs APTT without increased bleeding risk in cynomolgus monkeys. Blood. 2012 Mar 8;119(10):2401-8.",PMID 22246038 | doi:10.1182/blood-2011-10-387134,pubmed_22246038.txt,"NCBI eutils PubMed abstract (NLM-distributed). Publisher full text (ashpublications.org) returns HTTP 403 through the proxy; blood_22246038.html on disk is a ~5.5 KB Cloudflare block page, not content. Duplicate abstract at YOUNIS2012_Blood_pmid22246038_abstract.txt.",Abstract NLM-distributed; article copyright American Society of Hematology 2012,publisher_restricted,mechanism-and-qualitative,1,6
COG-S056,"Yacyshyn BR, Barish C, Goff J, Dalke D, Gaspari M, Yu R, Tami J, Dorr FA, Sewell KL. Dose ranging pharmacokinetic trial of high-dose alicaforsen (intercellular adhesion molecule-1 antisense oligodeoxynucleotide) (ISIS 2302) in active Crohn's disease. Aliment Pharmacol Ther. 2002 Oct;16(10):1761-70.",PMID 12269969 | doi:10.1046/j.1365-2036.2002.01341.x,pubmed_abstracts_clinical_aso.txt,"PubMed abstract via NCBI eutils, batched into a multi-record text file; Wiley full text not retrievable.",Abstract NLM-distributed; article copyright Blackwell Science/Wiley 2002,publisher_restricted,mechanism-and-qualitative,0,3
COG-S057,"Sheehan JP, Lan HC. Phosphorothioate oligonucleotides inhibit the intrinsic tenase complex. Blood. 1998 Sep 1;92(5):1617-25.",PMID 9716589,pubmed_9716589.txt,NCBI eutils PubMed abstract. Blood full text HTTP 403 through the proxy; figures paywalled. Duplicate copies at pubmed_abstracts_mechanism.txt (record 1) and SHEEHAN1998_Blood_pmid9716589_abstract.txt.,Abstract NLM-distributed; article copyright American Society of Hematology 1998,publisher_restricted,mechanism-and-qualitative,1,11
COG-S058,"Sheehan JP, Phan TM. Phosphorothioate oligonucleotides inhibit the intrinsic tenase complex by an allosteric mechanism. Biochemistry. 2001 Apr 24;40(16):4980-9.",PMID 11305914 | doi:10.1021/bi002396x,SHEEHAN2001_Biochem_pmid11305914_abstract.txt,NCBI eutils PubMed abstract; ACS full text not obtained. Duplicate at pubmed_abstracts_mechanism.txt (record 2).,Abstract NLM-distributed; article copyright American Chemical Society 2001,publisher_restricted,mechanism-and-qualitative,0,9
COG-S059,"Ohara M, Nagata T, Hara RI, Yoshida-Tanaka K, Toide N, Takagi K, Sato K, Takenaka T, Nakakariya M, Miyata K, Maeda Y, Toh K, Wada T, Yokota T. DNA/RNA heteroduplex technology with cationic oligopeptide reduces class-related adverse effects of nucleic acid drugs. Mol Ther Nucleic Acids. 2024;35(3):102289.",PMC11382116 | PMID 39252874 | doi:10.1016/j.omtn.2024.102289,PMC11382116.xml,"Europe PMC / PMC OA JATS XML; byline, journal, volume/issue, elocation-id and DOI all read out of <article-meta> in this file. Byte-identical duplicate at HDO_PMC11382116.xml; flattened text at PMC11382116.txt and HDO_PMC11382116_mine.txt. Supplement (Table S1 sequences/PS maps, Figures S1-S6) NOT obtained: /home/user/coag-staging/supp_HDO_PMC11382116.zip is a 10,135-byte HTML page (verified, begins '<!doctype html>'), not a ZIP archive.",CC BY-NC-ND 4.0,CC_BY_NC_ND,mechanism-and-qualitative,14,15
COG-S060,"Relizani K, Echevarria L, Zarrouki F, Gastaldi C, Dambrune C, Aupy P, Haeberli A, Komisarski M, Tensorer T, Larcher T, Svinartchouk F, Vaillend C, Garcia L, Goyenvalle A. Palmitic acid conjugation enhances potency of tricyclo-DNA splice switching oligonucleotides. Nucleic Acids Res. 2022;50(1):17-.",PMC8754652 | PMID 34893881 | doi:10.1093/nar/gkab1199,PMC8754652.xml,Europe PMC / PMC OA JATS XML; byline and identifiers read out of <article-meta> in this file (the XML carries pub year 2021 for the advance-access date and fpage 17). Byte-identical duplicate at RELIZANI_PMC8754652.xml.,CC BY 4.0 (Oxford University Press / Nucleic Acids Research),CC_BY,mechanism-and-qualitative,4,8
COG-S061,"Aupy P, Echevarria L, Relizani K, Zarrouki F, Haeberli A, Komisarski M, Tensorer T, Jouvion G, Svinartchouk F, Garcia L, Goyenvalle A. Identifying and Avoiding tcDNA-ASO Sequence-Specific Toxicity for the Development of DMD Exon 51 Skipping Therapy. Mol Ther Nucleic Acids. 2020;19:371-383.",PMC7063478 | PMID 31881528 | doi:10.1016/j.omtn.2019.11.020,PMC7063478.xml,"Europe PMC / PMC OA JATS XML; byline, journal, volume, pages and DOI read out of <article-meta> in this file, which resolves the triage disagreement over journal/DOI in favour of Mol Ther Nucleic Acids 19:371-383, doi:10.1016/j.omtn.2019.11.020. Byte-identical duplicate at AUPY_PMC7063478.xml; flattened text at PMC7063478.txt / AUPY_PMC7063478.txt.",CC BY 4.0,CC_BY,mechanism-and-qualitative,3,10
COG-S062,"Henry SP, Novotny W, Leeds J, Auletta C, Kornbrust DJ. Inhibition of coagulation by a phosphorothioate oligonucleotide. Antisense Nucleic Acid Drug Dev. 1997 Oct;7(5):503-10.",PMID 9361909 | doi:10.1089/oli.1.1997.7.503,pubmed_9361909.txt,"NCBI eutils PubMed abstract; no PMC record, Mary Ann Liebert (1997) full text not obtained. Duplicates at HENRY1997_ANADD_pmid9361909_abstract.txt and pubmed_abstracts_mechanism.txt (record 3).",Abstract NLM-distributed; article copyright Mary Ann Liebert 1997,publisher_restricted,mechanism-and-qualitative,2,10
COG-S063,"Shaw DR, Rustagi PK, Kandimalla ER, Manning AN, Jiang Z, Agrawal S. Effects of synthetic oligonucleotides on human complement and coagulation. Biochem Pharmacol. 1997 Apr 25;53(8):1123-32.",PMID 9175717 | doi:10.1016/s0006-2952(97)00091-9,pubmed_shaw1997.txt,NCBI eutils PubMed abstract; Elsevier full text not obtained.,Abstract NLM-distributed; article copyright Elsevier 1997,publisher_restricted,mechanism-and-qualitative,1,6
COG-S064,"Agrawal S, Rustagi PK, Shaw DR. Novel enzymatic and immunological responses to oligonucleotides. Toxicol Lett. 1995 Dec;82-83:431-4.",PMID 8597089 | doi:10.1016/0378-4274(95)03573-7,pubmed_shaw1997.txt,"Companion abstract returned by the same eutils call as S57 and stored in the same file. This is a DISTINCT publication, not part of S57; it was given the derived key S57b rather than being merged into S57, so that no S57 row silently carries S57b content. It has no rank of its own in the triage list.",Abstract NLM-distributed; article copyright Elsevier 1995,publisher_restricted,mechanism-and-qualitative,3,4
COG-S065,"Schmidt M, Hagner N, Marco A, Koenig-Merediz SA, Schroff M, Wittig B. Design and Structural Requirements of the Potent and Safe TLR-9 Agonistic Immunomodulator MGN1703. Nucleic Acid Ther. 2015;25(3):130-.","PMC4440985 | PMID 25826686 | doi:10.1089/nat.2015.0533 (NOTE: this DOI is read verbatim from <article-id pub-id-type=""doi""> in the file and CONTRADICTS the triage sheet, which recorded 10.1089/nat.2015.0537)",PMC4440985.xml,"Europe PMC / PMC OA JATS XML; byline, journal, volume/issue/fpage and DOI read out of <article-meta> in this file. Supplementary Fig. S4 - the actual aPTT data behind the only coagulation sentence in this paper - was NOT retrieved.",CC BY 4.0 (Mary Ann Liebert open access),CC_BY,mechanism-and-qualitative,2,2
COG-S066,"Peters S, Wirkert E, Kuespert S, Heydn R, Johannesen S, Friedrich A, Mailaender S, Korte S, Mecklenburg L, Aigner L, Bruun TH, Bogdahn U. Safe and Effective Cynomolgus Monkey GLP-Tox Study with Repetitive Intrathecal Application of a TGFBR2 Targeting LNA-Gapmer Antisense Oligonucleotide as Treatment Candidate for Neurodegenerative Disorders. Pharmaceutics. 2022;14(1):200.",PMC8780845 | PMID 35057094 | doi:10.3390/pharmaceutics14010200,PMC8780845.xml,"Europe PMC / PMC OA JATS XML; byline read from the content-type=""author"" contrib-group only (Cacciatore I appears in this file in a content-type=""editor"" group and is deliberately excluded from the byline).",CC BY 4.0 (MDPI),CC_BY,mechanism-and-qualitative,1,2
COG-S067,"Henry SP, Bolte H, Auletta C, Kornbrust DJ. Evaluation of the toxicity of ISIS 2302, a phosphorothioate oligonucleotide, in a four-week study in cynomolgus monkeys. Toxicology. 1997 Jun 27;120(2):145-55.",PMID 9184201 | doi:10.1016/s0300-483x(97)03661-5,pubmed_9184201.txt,"NCBI eutils PubMed abstract; no PMC record, Elsevier full text not obtained.",Abstract NLM-distributed; article copyright Elsevier 1997,publisher_restricted,mechanism-and-qualitative,0,5
COG-S068,"Burel SA, Han SR, Lee HS, Norris DA, Lee BS, Machemer T, Park SY, Zhou T, He G, Kim Y, MacLeod AR, Monia BP, Lio S, Kim TW, Henry SP. Preclinical evaluation of the toxicological effects of a novel constrained ethyl modified antisense compound targeting signal transducer and activator of transcription 3 in mice and cynomolgus monkeys. Nucleic Acid Ther. 2013 Jun;23(3):213-27.",PMID 23692080 | doi:10.1089/nat.2013.0422,pubmed_23692080.txt,NCBI eutils PubMed abstract; Mary Ann Liebert full text not obtained.,Abstract NLM-distributed; article copyright Mary Ann Liebert 2013,publisher_restricted,mechanism-and-qualitative,1,3
COG-S069,"Glover JM, Leeds JM, Mant TG, Amin D, Kisner DL, Zuckerman JE, Geary RS, Levin AA, Shanahan WR Jr. Phase I safety and pharmacokinetic profile of an intercellular adhesion molecule-1 antisense oligodeoxynucleotide (ISIS 2302). J Pharmacol Exp Ther. 1997 Sep;282(3):1173-80.",PMID 9316823,pubmed_abstracts_clinical_aso.txt,NCBI eutils PubMed abstract; ASPET full text not obtained. Duplicate at GLOVER1997_JPET_pmid9316823_abstract.txt.,Abstract NLM-distributed; article copyright ASPET 1997,publisher_restricted,mechanism-and-qualitative,0,1
COG-S070,"Sereni D, Tubiana R, Lascoux C, Katlama C, Taulera O, Bourque A, Cohen A, Dvorchik B, Martin RR, Tournerie C, Gouyette A, Schechter PJ. Pharmacokinetics and tolerability of intravenous trecovirsen (GEM 91), an antisense phosphorothioate oligonucleotide, in HIV-positive subjects. J Clin Pharmacol. 1999 Jan;39(1):47-54.",PMID 9987700 | doi:10.1177/00912709922007552,SERENI1999_GEM91_pmid9987700_abstract.txt,NCBI eutils PubMed abstract; Wiley/ACCP full text not obtained. Duplicate at pubmed_abstracts_clinical_aso.txt (record 2). A companion GEM 91 PK abstract sits at GRINDEL1998_GEM91_pmid9512095_abstract.txt and was NOT used - it was not checked for coagulation content in this bundle.,Abstract NLM-distributed; article copyright ACCP/Wiley 1999,publisher_restricted,mechanism-and-qualitative,1,1
COG-S071,[Author byline not present in the retrieved file and therefore not asserted.] siRNA-mediated reduction of a circulating protein in swine using lipid nanoparticles. Mol Ther Methods Clin Dev. 2024;101258.,PMC11109470 | PMID 38779336 | doi:10.1016/j.omtm.2024.101258,PMC11109470_abstract.txt,"Abstract only (title + PMID/DOI + licence + abstract body). Europe PMC fullTextXML returns HTTP 404 for this PMCID and ?pdf=render errors, so the abstract is a genuine ceiling rather than a re-tryable failure. A richer record exists at PMC11109470_record.json but was not used as a citation source.",CC BY-NC-ND,CC_BY_NC_ND,mechanism-and-qualitative,1,2
COG-S072,"Braendli-Baiocco A, Festag M, Dumong Erichsen K, Persson R, Mihatsch MJ, Fisker N, Funk J, Mohr S, Constien R, Ploix C, Brady K, Berrera M, Altmann B, Lenz B, Albassam M, Schmitt G, Weiser T, Schuler F, Singer T, Tessier Y. From the Cover: The Minipig is a Suitable Non-Rodent Model in the Safety Assessment of Single Stranded Oligonucleotides. Toxicological Sciences 2017;157(1):112-128.",PMC5414856 | PMID 28123102 | DOI 10.1093/toxsci/kfx025,PMC5414856.xml,"PMC Open Access JATS XML, staged locally. Byte-identical duplicate at /home/user/coag-staging/fulltext/MINIPIG_PMC5414856.xml (md5 d813fdd2e3c336b8b4ed529813cdbf95); flattened text copies at PMC5414856.txt and MINIPIG_PMC5414856.txt (md5 d69753db565008da569336413f4180e6). All extraction was performed against the XML.","Creative Commons Attribution-NonCommercial-NoDerivs 4.0 (CC BY-NC-ND 4.0). (c) The Author 2017, published by Oxford University Press on behalf of the Society of Toxicology.",CC_BY_NC_ND,minipig-lna,4,23
COG-S073,"Zavyalova E, Samoylenkova N, Revishchin A, Turashev A, Gordeychuk I, Golovin A, Kopylov A, Pavlova G. The Evaluation of Pharmacodynamics and Pharmacokinetics of Anti-thrombin DNA Aptamer RA-36. Frontiers in Pharmacology 2017;8:922.",PMC5735248 | PMID 29311929 | doi 10.3389/fphar.2017.00922,PMC5735248.xml,"PMC JATS XML already on disk in the staging fulltext directory; parsed with xml.etree (single-line XML, so a real parser was used rather than grep -c). A readable rendering was written to /tmp/claude-0/-home-user-Claude-Works/2c752835-a5be-5204-bb06-a9e7affc8fc6/scratchpad/S6.txt.",Creative Commons Attribution License (CC BY) - Frontiers Media SA. Permissions statement present in the XML.,CC_BY,thrombin-aptamers-core,2,39
COG-S074,"Nagano M, Kubota K, Sakata A, Nakamura R, Yoshitomi T, Wakui K, Yoshimoto K. A neutralizable dimeric anti-thrombin aptamer with potent anticoagulant activity in mice. Molecular Therapy Nucleic Acids 2023;33:659-671.",PMC10445101 | PMID 37621412 | doi 10.1016/j.omtn.2023.07.038 | Elsevier PII S2162253123002111,PMC10445101.xml,"Main text: PMC JATS XML already on disk. Supplementary: the PMC OA service, the PMC /bin/ path and the Europe PMC supplementaryFiles endpoint ALL failed (404 / 500 / HTML error pages - note that the three 10,135-byte ""supp_*.zip"" files already in /home/user/coag-staging are those HTML error pages, not archives). The DOI was resolved through doi.org to the Elsevier PII S2162253123002111 and the supplements were then fetched directly from https://ars.els-cdn.com/content/image/1-s2.0-S2162253123002111-mmc1.pdf and -mmc2.pdf (HTTP 200, application/pdf).","CC BY 4.0 (open access under the Creative Commons Attribution license, per the copyright statement in the XML)",CC_BY,thrombin-aptamers-core,32,80
COG-S075,"Monia BP, Freier SM, Wancewicz EV, et al. (assignee Isis Pharmaceuticals, Inc.). Modulation of transthyretin expression. United States Patent US 9,061,044 B2, granted 23 June 2015. Example 24, 'Effect of ISIS Antisense Oligonucleotides Targeting Human Transthyretin in Cynomolgus Monkeys', subsection 'Coagulation Tests', Tables 86-88.","US 9,061,044 B2",US9061044.txt,"HTML-to-text conversion of the USPTO grant, obtained via a FreePatentsOnline mirror; stored as a plain-text file of 437,109 bytes. Inventor list on the citation line is taken from the patent front page as rendered in this text file; the assignee is Isis Pharmaceuticals, Inc.",United States federal government work product - the text of a granted US patent is not subject to copyright (17 U.S.C. 105 / USPTO grant text is public domain).,public_domain,ttr-patent,8,129
