measurement_id,oligo_id,study_type,species,system_model,tissue,delivery_method,dose_or_conc_value,dose_or_conc_unit,exposure_duration,readout_category,readout_name,readout_value,readout_unit,effect_direction,effect_vs_control,thrombocytopenia_grade,is_platelet_specific,subject_class,source_id,source_ref,source_table,redistribution,notes
TMSR111,TOLG014,clinical,human,patient_cohort,blood,systemic_dose,>275-375,mg,"steady state, drug elimination phase (>=5 days post dose)",coagulation,abnormal_APTT_incidence_gt1.4,0.0,pct_incidence,no_change,0pct_vs_0.2pct_placebo,0,FALSE,human_clinical,CROOKE2017,PMID 28145801; PMCID PMC5467133; doi:10.1089/nat.2016.0650,"Supplementary Table S12, APTT row '>1.4 x ULN or BSLN if >ULN', dose group >275-375 mg/week",summary_stat,"0 of 125 subjects | Grade rationale: coagulation-time abnormality is not a platelet endpoint and shows no dose-dependent excess over placebo -> grade 0 | Supplementary Table S12: incidence of abnormal coagulation times in randomized placebo-controlled trials during STEADY-STATE conditions of the drug ELIMINATION phase (last measure collected >=5 days after a dose and before end of treatment period). Subjects had to have received at least two doses. Data from the FXI ASO trials were EXCLUDED because of the known pharmacological effect on APTT. Article conclusion: no dose-dependent effect of 2'MOE ASO treatment on the incidence of abnormalities in these coagulation tests compared with placebo. | Coagulation-time readout, NOT a platelet measurement (is_platelet_specific FALSE). Graded 0 under the schema rubric because grade 0 = 'no platelet signal at tested exposure'; a prolonged APTT/PT is not a platelet endpoint and the source reports no dose-dependent excess over placebo. | Dose expressed as mg/week; dose_or_conc_value carries the dose BAND exactly as printed where the source reports a band rather than a single dose.;verified_against_source"
TMSR112,TOLG014,clinical,human,patient_cohort,blood,systemic_dose,>375-475,mg,"steady state, drug elimination phase (>=5 days post dose)",coagulation,abnormal_APTT_incidence_gt1.4,0.0,pct_incidence,no_change,0pct_vs_0.2pct_placebo,0,FALSE,human_clinical,CROOKE2017,PMID 28145801; PMCID PMC5467133; doi:10.1089/nat.2016.0650,"Supplementary Table S12, APTT row '>1.4 x ULN or BSLN if >ULN', dose group >375-475 mg/week",summary_stat,"0 of 88 subjects | Grade rationale: coagulation-time abnormality is not a platelet endpoint and shows no dose-dependent excess over placebo -> grade 0 | Supplementary Table S12: incidence of abnormal coagulation times in randomized placebo-controlled trials during STEADY-STATE conditions of the drug ELIMINATION phase (last measure collected >=5 days after a dose and before end of treatment period). Subjects had to have received at least two doses. Data from the FXI ASO trials were EXCLUDED because of the known pharmacological effect on APTT. Article conclusion: no dose-dependent effect of 2'MOE ASO treatment on the incidence of abnormalities in these coagulation tests compared with placebo. | Coagulation-time readout, NOT a platelet measurement (is_platelet_specific FALSE). Graded 0 under the schema rubric because grade 0 = 'no platelet signal at tested exposure'; a prolonged APTT/PT is not a platelet endpoint and the source reports no dose-dependent excess over placebo. | Dose expressed as mg/week; dose_or_conc_value carries the dose BAND exactly as printed where the source reports a band rather than a single dose.;verified_against_source"
TMSR113,TOLG014,clinical,human,patient_cohort,blood,systemic_dose,>475,mg,"steady state, drug elimination phase (>=5 days post dose)",coagulation,abnormal_APTT_incidence_gt1.4,0.0,pct_incidence,no_change,0pct_vs_0.2pct_placebo,0,FALSE,human_clinical,CROOKE2017,PMID 28145801; PMCID PMC5467133; doi:10.1089/nat.2016.0650,"Supplementary Table S12, APTT row '>1.4 x ULN or BSLN if >ULN', dose group >475 mg/week",summary_stat,"0 of 21 subjects | Grade rationale: coagulation-time abnormality is not a platelet endpoint and shows no dose-dependent excess over placebo -> grade 0 | Supplementary Table S12: incidence of abnormal coagulation times in randomized placebo-controlled trials during STEADY-STATE conditions of the drug ELIMINATION phase (last measure collected >=5 days after a dose and before end of treatment period). Subjects had to have received at least two doses. Data from the FXI ASO trials were EXCLUDED because of the known pharmacological effect on APTT. Article conclusion: no dose-dependent effect of 2'MOE ASO treatment on the incidence of abnormalities in these coagulation tests compared with placebo. | Coagulation-time readout, NOT a platelet measurement (is_platelet_specific FALSE). Graded 0 under the schema rubric because grade 0 = 'no platelet signal at tested exposure'; a prolonged APTT/PT is not a platelet endpoint and the source reports no dose-dependent excess over placebo. | Dose expressed as mg/week; dose_or_conc_value carries the dose BAND exactly as printed where the source reports a band rather than a single dose.;verified_against_source"
TMSR114,TOLG014,clinical,human,patient_cohort,blood,systemic_dose,>75-175,mg,"steady state, drug elimination phase (>=5 days post dose)",coagulation,abnormal_APTT_incidence_gt1.4,0.0,pct_incidence,no_change,0pct_vs_0.2pct_placebo,0,FALSE,human_clinical,CROOKE2017,PMID 28145801; PMCID PMC5467133; doi:10.1089/nat.2016.0650,"Supplementary Table S12, APTT row '>1.4 x ULN or BSLN if >ULN', dose group >75-175 mg/week",summary_stat,"0 of 132 subjects | Grade rationale: coagulation-time abnormality is not a platelet endpoint and shows no dose-dependent excess over placebo -> grade 0 | Supplementary Table S12: incidence of abnormal coagulation times in randomized placebo-controlled trials during STEADY-STATE conditions of the drug ELIMINATION phase (last measure collected >=5 days after a dose and before end of treatment period). Subjects had to have received at least two doses. Data from the FXI ASO trials were EXCLUDED because of the known pharmacological effect on APTT. Article conclusion: no dose-dependent effect of 2'MOE ASO treatment on the incidence of abnormalities in these coagulation tests compared with placebo. | Coagulation-time readout, NOT a platelet measurement (is_platelet_specific FALSE). Graded 0 under the schema rubric because grade 0 = 'no platelet signal at tested exposure'; a prolonged APTT/PT is not a platelet endpoint and the source reports no dose-dependent excess over placebo. | Dose expressed as mg/week; dose_or_conc_value carries the dose BAND exactly as printed where the source reports a band rather than a single dose.;verified_against_source"
TMSR115,TOLG014,clinical,human,patient_cohort,blood,systemic_dose,TBD,mg,"steady state, drug elimination phase (>=5 days post dose)",coagulation,abnormal_APTT_incidence_gt1.4,0.3,pct_incidence,increase,0.3pct_vs_0.2pct_placebo,0,FALSE,human_clinical,CROOKE2017,PMID 28145801; PMCID PMC5467133; doi:10.1089/nat.2016.0650,"Supplementary Table S12, APTT row '>1.4 x ULN or BSLN if >ULN', dose group ASO total",summary_stat,"3 of 1002 subjects | Grade rationale: coagulation-time abnormality is not a platelet endpoint and shows no dose-dependent excess over placebo -> grade 0 | Supplementary Table S12: incidence of abnormal coagulation times in randomized placebo-controlled trials during STEADY-STATE conditions of the drug ELIMINATION phase (last measure collected >=5 days after a dose and before end of treatment period). Subjects had to have received at least two doses. Data from the FXI ASO trials were EXCLUDED because of the known pharmacological effect on APTT. Article conclusion: no dose-dependent effect of 2'MOE ASO treatment on the incidence of abnormalities in these coagulation tests compared with placebo. | Coagulation-time readout, NOT a platelet measurement (is_platelet_specific FALSE). Graded 0 under the schema rubric because grade 0 = 'no platelet signal at tested exposure'; a prolonged APTT/PT is not a platelet endpoint and the source reports no dose-dependent excess over placebo. | Pooled across all 2'MOE ASO dose levels; dose_or_conc_value TBD because the row aggregates every dose band. | Dose expressed as mg/week; dose_or_conc_value carries the dose BAND exactly as printed where the source reports a band rather than a single dose.;verified_against_source"
TMSR116,TOLG014,clinical,human,patient_cohort,blood,systemic_dose,0,mg,"steady state, drug elimination phase (>=5 days post dose)",coagulation,abnormal_APTT_incidence_gt1.4,0.2,pct_incidence,increase,TBD,0,FALSE,human_clinical,CROOKE2017,PMID 28145801; PMCID PMC5467133; doi:10.1089/nat.2016.0650,"Supplementary Table S12, APTT row '>1.4 x ULN or BSLN if >ULN', dose group Placebo",summary_stat,"1 of 425 subjects | Grade rationale: coagulation-time abnormality is not a platelet endpoint and shows no dose-dependent excess over placebo -> grade 0 | Supplementary Table S12: incidence of abnormal coagulation times in randomized placebo-controlled trials during STEADY-STATE conditions of the drug ELIMINATION phase (last measure collected >=5 days after a dose and before end of treatment period). Subjects had to have received at least two doses. Data from the FXI ASO trials were EXCLUDED because of the known pharmacological effect on APTT. Article conclusion: no dose-dependent effect of 2'MOE ASO treatment on the incidence of abnormalities in these coagulation tests compared with placebo. | Coagulation-time readout, NOT a platelet measurement (is_platelet_specific FALSE). Graded 0 under the schema rubric because grade 0 = 'no platelet signal at tested exposure'; a prolonged APTT/PT is not a platelet endpoint and the source reports no dose-dependent excess over placebo. | PLACEBO CONTROL ARM - no ASO administered; carried under the class-pool oligo_name for joinability. | Dose expressed as mg/week; dose_or_conc_value carries the dose BAND exactly as printed where the source reports a band rather than a single dose.;verified_against_source"
TMSR117,TOLG014,clinical,human,patient_cohort,blood,systemic_dose,>0-75,mg,"steady state, drug elimination phase (>=5 days post dose)",coagulation,abnormal_APTT_incidence_gt2.5,0.0,pct_incidence,no_change,0pct_vs_0pct_placebo,0,FALSE,human_clinical,CROOKE2017,PMID 28145801; PMCID PMC5467133; doi:10.1089/nat.2016.0650,"Supplementary Table S12, APTT row '>2.5 x ULN or BSLN if >ULN', dose group >0-75 mg/week",summary_stat,"0 of 68 subjects | Grade rationale: coagulation-time abnormality is not a platelet endpoint and shows no dose-dependent excess over placebo -> grade 0 | Supplementary Table S12: incidence of abnormal coagulation times in randomized placebo-controlled trials during STEADY-STATE conditions of the drug ELIMINATION phase (last measure collected >=5 days after a dose and before end of treatment period). Subjects had to have received at least two doses. Data from the FXI ASO trials were EXCLUDED because of the known pharmacological effect on APTT. Article conclusion: no dose-dependent effect of 2'MOE ASO treatment on the incidence of abnormalities in these coagulation tests compared with placebo. | Coagulation-time readout, NOT a platelet measurement (is_platelet_specific FALSE). Graded 0 under the schema rubric because grade 0 = 'no platelet signal at tested exposure'; a prolonged APTT/PT is not a platelet endpoint and the source reports no dose-dependent excess over placebo. | Dose expressed as mg/week; dose_or_conc_value carries the dose BAND exactly as printed where the source reports a band rather than a single dose.;verified_against_source"
TMSR118,TOLG014,clinical,human,patient_cohort,blood,systemic_dose,>175-275,mg,"steady state, drug elimination phase (>=5 days post dose)",coagulation,abnormal_APTT_incidence_gt2.5,0.0,pct_incidence,no_change,0pct_vs_0pct_placebo,0,FALSE,human_clinical,CROOKE2017,PMID 28145801; PMCID PMC5467133; doi:10.1089/nat.2016.0650,"Supplementary Table S12, APTT row '>2.5 x ULN or BSLN if >ULN', dose group >175-275 mg/week",summary_stat,"0 of 568 subjects | Grade rationale: coagulation-time abnormality is not a platelet endpoint and shows no dose-dependent excess over placebo -> grade 0 | Supplementary Table S12: incidence of abnormal coagulation times in randomized placebo-controlled trials during STEADY-STATE conditions of the drug ELIMINATION phase (last measure collected >=5 days after a dose and before end of treatment period). Subjects had to have received at least two doses. Data from the FXI ASO trials were EXCLUDED because of the known pharmacological effect on APTT. Article conclusion: no dose-dependent effect of 2'MOE ASO treatment on the incidence of abnormalities in these coagulation tests compared with placebo. | Coagulation-time readout, NOT a platelet measurement (is_platelet_specific FALSE). Graded 0 under the schema rubric because grade 0 = 'no platelet signal at tested exposure'; a prolonged APTT/PT is not a platelet endpoint and the source reports no dose-dependent excess over placebo. | Dose expressed as mg/week; dose_or_conc_value carries the dose BAND exactly as printed where the source reports a band rather than a single dose.;verified_against_source"
TMSR119,TOLG014,clinical,human,patient_cohort,blood,systemic_dose,>275-375,mg,"steady state, drug elimination phase (>=5 days post dose)",coagulation,abnormal_APTT_incidence_gt2.5,0.0,pct_incidence,no_change,0pct_vs_0pct_placebo,0,FALSE,human_clinical,CROOKE2017,PMID 28145801; PMCID PMC5467133; doi:10.1089/nat.2016.0650,"Supplementary Table S12, APTT row '>2.5 x ULN or BSLN if >ULN', dose group >275-375 mg/week",summary_stat,"0 of 125 subjects | Grade rationale: coagulation-time abnormality is not a platelet endpoint and shows no dose-dependent excess over placebo -> grade 0 | Supplementary Table S12: incidence of abnormal coagulation times in randomized placebo-controlled trials during STEADY-STATE conditions of the drug ELIMINATION phase (last measure collected >=5 days after a dose and before end of treatment period). Subjects had to have received at least two doses. Data from the FXI ASO trials were EXCLUDED because of the known pharmacological effect on APTT. Article conclusion: no dose-dependent effect of 2'MOE ASO treatment on the incidence of abnormalities in these coagulation tests compared with placebo. | Coagulation-time readout, NOT a platelet measurement (is_platelet_specific FALSE). Graded 0 under the schema rubric because grade 0 = 'no platelet signal at tested exposure'; a prolonged APTT/PT is not a platelet endpoint and the source reports no dose-dependent excess over placebo. | Dose expressed as mg/week; dose_or_conc_value carries the dose BAND exactly as printed where the source reports a band rather than a single dose.;verified_against_source"
TMSR120,TOLG014,clinical,human,patient_cohort,blood,systemic_dose,>375-475,mg,"steady state, drug elimination phase (>=5 days post dose)",coagulation,abnormal_APTT_incidence_gt2.5,0.0,pct_incidence,no_change,0pct_vs_0pct_placebo,0,FALSE,human_clinical,CROOKE2017,PMID 28145801; PMCID PMC5467133; doi:10.1089/nat.2016.0650,"Supplementary Table S12, APTT row '>2.5 x ULN or BSLN if >ULN', dose group >375-475 mg/week",summary_stat,"0 of 88 subjects | Grade rationale: coagulation-time abnormality is not a platelet endpoint and shows no dose-dependent excess over placebo -> grade 0 | Supplementary Table S12: incidence of abnormal coagulation times in randomized placebo-controlled trials during STEADY-STATE conditions of the drug ELIMINATION phase (last measure collected >=5 days after a dose and before end of treatment period). Subjects had to have received at least two doses. Data from the FXI ASO trials were EXCLUDED because of the known pharmacological effect on APTT. Article conclusion: no dose-dependent effect of 2'MOE ASO treatment on the incidence of abnormalities in these coagulation tests compared with placebo. | Coagulation-time readout, NOT a platelet measurement (is_platelet_specific FALSE). Graded 0 under the schema rubric because grade 0 = 'no platelet signal at tested exposure'; a prolonged APTT/PT is not a platelet endpoint and the source reports no dose-dependent excess over placebo. | Dose expressed as mg/week; dose_or_conc_value carries the dose BAND exactly as printed where the source reports a band rather than a single dose.;verified_against_source"
TMSR121,TOLG014,clinical,human,patient_cohort,blood,systemic_dose,>475,mg,"steady state, drug elimination phase (>=5 days post dose)",coagulation,abnormal_APTT_incidence_gt2.5,0.0,pct_incidence,no_change,0pct_vs_0pct_placebo,0,FALSE,human_clinical,CROOKE2017,PMID 28145801; PMCID PMC5467133; doi:10.1089/nat.2016.0650,"Supplementary Table S12, APTT row '>2.5 x ULN or BSLN if >ULN', dose group >475 mg/week",summary_stat,"0 of 21 subjects | Grade rationale: coagulation-time abnormality is not a platelet endpoint and shows no dose-dependent excess over placebo -> grade 0 | Supplementary Table S12: incidence of abnormal coagulation times in randomized placebo-controlled trials during STEADY-STATE conditions of the drug ELIMINATION phase (last measure collected >=5 days after a dose and before end of treatment period). Subjects had to have received at least two doses. Data from the FXI ASO trials were EXCLUDED because of the known pharmacological effect on APTT. Article conclusion: no dose-dependent effect of 2'MOE ASO treatment on the incidence of abnormalities in these coagulation tests compared with placebo. | Coagulation-time readout, NOT a platelet measurement (is_platelet_specific FALSE). Graded 0 under the schema rubric because grade 0 = 'no platelet signal at tested exposure'; a prolonged APTT/PT is not a platelet endpoint and the source reports no dose-dependent excess over placebo. | Dose expressed as mg/week; dose_or_conc_value carries the dose BAND exactly as printed where the source reports a band rather than a single dose.;verified_against_source"
TMSR122,TOLG014,clinical,human,patient_cohort,blood,systemic_dose,>75-175,mg,"steady state, drug elimination phase (>=5 days post dose)",coagulation,abnormal_APTT_incidence_gt2.5,0.0,pct_incidence,no_change,0pct_vs_0pct_placebo,0,FALSE,human_clinical,CROOKE2017,PMID 28145801; PMCID PMC5467133; doi:10.1089/nat.2016.0650,"Supplementary Table S12, APTT row '>2.5 x ULN or BSLN if >ULN', dose group >75-175 mg/week",summary_stat,"0 of 132 subjects | Grade rationale: coagulation-time abnormality is not a platelet endpoint and shows no dose-dependent excess over placebo -> grade 0 | Supplementary Table S12: incidence of abnormal coagulation times in randomized placebo-controlled trials during STEADY-STATE conditions of the drug ELIMINATION phase (last measure collected >=5 days after a dose and before end of treatment period). Subjects had to have received at least two doses. Data from the FXI ASO trials were EXCLUDED because of the known pharmacological effect on APTT. Article conclusion: no dose-dependent effect of 2'MOE ASO treatment on the incidence of abnormalities in these coagulation tests compared with placebo. | Coagulation-time readout, NOT a platelet measurement (is_platelet_specific FALSE). Graded 0 under the schema rubric because grade 0 = 'no platelet signal at tested exposure'; a prolonged APTT/PT is not a platelet endpoint and the source reports no dose-dependent excess over placebo. | Dose expressed as mg/week; dose_or_conc_value carries the dose BAND exactly as printed where the source reports a band rather than a single dose.;verified_against_source"
TMSR123,TOLG014,clinical,human,patient_cohort,blood,systemic_dose,TBD,mg,"steady state, drug elimination phase (>=5 days post dose)",coagulation,abnormal_APTT_incidence_gt2.5,0.0,pct_incidence,no_change,0pct_vs_0pct_placebo,0,FALSE,human_clinical,CROOKE2017,PMID 28145801; PMCID PMC5467133; doi:10.1089/nat.2016.0650,"Supplementary Table S12, APTT row '>2.5 x ULN or BSLN if >ULN', dose group ASO total",summary_stat,"0 of 1002 subjects | Grade rationale: coagulation-time abnormality is not a platelet endpoint and shows no dose-dependent excess over placebo -> grade 0 | Supplementary Table S12: incidence of abnormal coagulation times in randomized placebo-controlled trials during STEADY-STATE conditions of the drug ELIMINATION phase (last measure collected >=5 days after a dose and before end of treatment period). Subjects had to have received at least two doses. Data from the FXI ASO trials were EXCLUDED because of the known pharmacological effect on APTT. Article conclusion: no dose-dependent effect of 2'MOE ASO treatment on the incidence of abnormalities in these coagulation tests compared with placebo. | Coagulation-time readout, NOT a platelet measurement (is_platelet_specific FALSE). Graded 0 under the schema rubric because grade 0 = 'no platelet signal at tested exposure'; a prolonged APTT/PT is not a platelet endpoint and the source reports no dose-dependent excess over placebo. | Pooled across all 2'MOE ASO dose levels; dose_or_conc_value TBD because the row aggregates every dose band. | Dose expressed as mg/week; dose_or_conc_value carries the dose BAND exactly as printed where the source reports a band rather than a single dose.;verified_against_source"
TMSR124,TOLG014,clinical,human,patient_cohort,blood,systemic_dose,0,mg,"steady state, drug elimination phase (>=5 days post dose)",coagulation,abnormal_APTT_incidence_gt2.5,0.0,pct_incidence,no_change,TBD,0,FALSE,human_clinical,CROOKE2017,PMID 28145801; PMCID PMC5467133; doi:10.1089/nat.2016.0650,"Supplementary Table S12, APTT row '>2.5 x ULN or BSLN if >ULN', dose group Placebo",summary_stat,"0 of 425 subjects | Grade rationale: coagulation-time abnormality is not a platelet endpoint and shows no dose-dependent excess over placebo -> grade 0 | Supplementary Table S12: incidence of abnormal coagulation times in randomized placebo-controlled trials during STEADY-STATE conditions of the drug ELIMINATION phase (last measure collected >=5 days after a dose and before end of treatment period). Subjects had to have received at least two doses. Data from the FXI ASO trials were EXCLUDED because of the known pharmacological effect on APTT. Article conclusion: no dose-dependent effect of 2'MOE ASO treatment on the incidence of abnormalities in these coagulation tests compared with placebo. | Coagulation-time readout, NOT a platelet measurement (is_platelet_specific FALSE). Graded 0 under the schema rubric because grade 0 = 'no platelet signal at tested exposure'; a prolonged APTT/PT is not a platelet endpoint and the source reports no dose-dependent excess over placebo. | PLACEBO CONTROL ARM - no ASO administered; carried under the class-pool oligo_name for joinability. | Dose expressed as mg/week; dose_or_conc_value carries the dose BAND exactly as printed where the source reports a band rather than a single dose.;verified_against_source"
TMSR125,TOLG014,clinical,human,patient_cohort,blood,systemic_dose,>0-75,mg,"steady state, drug elimination phase (>=5 days post dose)",coagulation,abnormal_PT_incidence_gt1.2,0.0,pct_incidence,no_change,0pct_vs_1.3pct_placebo,0,FALSE,human_clinical,CROOKE2017,PMID 28145801; PMCID PMC5467133; doi:10.1089/nat.2016.0650,"Supplementary Table S12, PT row '>1.2 x ULN, or BSLN if >ULN', dose group >0-75 mg/week",summary_stat,"0 of 60 subjects | Grade rationale: coagulation-time abnormality is not a platelet endpoint and shows no dose-dependent excess over placebo -> grade 0 | Supplementary Table S12: incidence of abnormal coagulation times in randomized placebo-controlled trials during STEADY-STATE conditions of the drug ELIMINATION phase (last measure collected >=5 days after a dose and before end of treatment period). Subjects had to have received at least two doses. Data from the FXI ASO trials were EXCLUDED because of the known pharmacological effect on APTT. Article conclusion: no dose-dependent effect of 2'MOE ASO treatment on the incidence of abnormalities in these coagulation tests compared with placebo. | Coagulation-time readout, NOT a platelet measurement (is_platelet_specific FALSE). Graded 0 under the schema rubric because grade 0 = 'no platelet signal at tested exposure'; a prolonged APTT/PT is not a platelet endpoint and the source reports no dose-dependent excess over placebo. | Dose expressed as mg/week; dose_or_conc_value carries the dose BAND exactly as printed where the source reports a band rather than a single dose.;verified_against_source"
TMSR126,TOLG014,clinical,human,patient_cohort,blood,systemic_dose,>175-275,mg,"steady state, drug elimination phase (>=5 days post dose)",coagulation,abnormal_PT_incidence_gt1.2,2.5,pct_incidence,increase,2.5pct_vs_1.3pct_placebo,0,FALSE,human_clinical,CROOKE2017,PMID 28145801; PMCID PMC5467133; doi:10.1089/nat.2016.0650,"Supplementary Table S12, PT row '>1.2 x ULN, or BSLN if >ULN', dose group >175-275 mg/week",summary_stat,"13 of 522 subjects | Grade rationale: coagulation-time abnormality is not a platelet endpoint and shows no dose-dependent excess over placebo -> grade 0 | Supplementary Table S12: incidence of abnormal coagulation times in randomized placebo-controlled trials during STEADY-STATE conditions of the drug ELIMINATION phase (last measure collected >=5 days after a dose and before end of treatment period). Subjects had to have received at least two doses. Data from the FXI ASO trials were EXCLUDED because of the known pharmacological effect on APTT. Article conclusion: no dose-dependent effect of 2'MOE ASO treatment on the incidence of abnormalities in these coagulation tests compared with placebo. | Coagulation-time readout, NOT a platelet measurement (is_platelet_specific FALSE). Graded 0 under the schema rubric because grade 0 = 'no platelet signal at tested exposure'; a prolonged APTT/PT is not a platelet endpoint and the source reports no dose-dependent excess over placebo. | footnote c: ten of 13 were taking anticoagulants. | Dose expressed as mg/week; dose_or_conc_value carries the dose BAND exactly as printed where the source reports a band rather than a single dose.;verified_against_source"
TMSR127,TOLG014,clinical,human,patient_cohort,blood,systemic_dose,>275-375,mg,"steady state, drug elimination phase (>=5 days post dose)",coagulation,abnormal_PT_incidence_gt1.2,0.9,pct_incidence,increase,0.9pct_vs_1.3pct_placebo,0,FALSE,human_clinical,CROOKE2017,PMID 28145801; PMCID PMC5467133; doi:10.1089/nat.2016.0650,"Supplementary Table S12, PT row '>1.2 x ULN, or BSLN if >ULN', dose group >275-375 mg/week",summary_stat,"1 of 108 subjects | Grade rationale: coagulation-time abnormality is not a platelet endpoint and shows no dose-dependent excess over placebo -> grade 0 | Supplementary Table S12: incidence of abnormal coagulation times in randomized placebo-controlled trials during STEADY-STATE conditions of the drug ELIMINATION phase (last measure collected >=5 days after a dose and before end of treatment period). Subjects had to have received at least two doses. Data from the FXI ASO trials were EXCLUDED because of the known pharmacological effect on APTT. Article conclusion: no dose-dependent effect of 2'MOE ASO treatment on the incidence of abnormalities in these coagulation tests compared with placebo. | Coagulation-time readout, NOT a platelet measurement (is_platelet_specific FALSE). Graded 0 under the schema rubric because grade 0 = 'no platelet signal at tested exposure'; a prolonged APTT/PT is not a platelet endpoint and the source reports no dose-dependent excess over placebo. | footnote d: one of one was taking anticoagulants. | Dose expressed as mg/week; dose_or_conc_value carries the dose BAND exactly as printed where the source reports a band rather than a single dose.;verified_against_source"
TMSR128,TOLG014,clinical,human,patient_cohort,blood,systemic_dose,>375-475,mg,"steady state, drug elimination phase (>=5 days post dose)",coagulation,abnormal_PT_incidence_gt1.2,1.4,pct_incidence,increase,1.4pct_vs_1.3pct_placebo,0,FALSE,human_clinical,CROOKE2017,PMID 28145801; PMCID PMC5467133; doi:10.1089/nat.2016.0650,"Supplementary Table S12, PT row '>1.2 x ULN, or BSLN if >ULN', dose group >375-475 mg/week",summary_stat,"1 of 74 subjects | Grade rationale: coagulation-time abnormality is not a platelet endpoint and shows no dose-dependent excess over placebo -> grade 0 | Supplementary Table S12: incidence of abnormal coagulation times in randomized placebo-controlled trials during STEADY-STATE conditions of the drug ELIMINATION phase (last measure collected >=5 days after a dose and before end of treatment period). Subjects had to have received at least two doses. Data from the FXI ASO trials were EXCLUDED because of the known pharmacological effect on APTT. Article conclusion: no dose-dependent effect of 2'MOE ASO treatment on the incidence of abnormalities in these coagulation tests compared with placebo. | Coagulation-time readout, NOT a platelet measurement (is_platelet_specific FALSE). Graded 0 under the schema rubric because grade 0 = 'no platelet signal at tested exposure'; a prolonged APTT/PT is not a platelet endpoint and the source reports no dose-dependent excess over placebo. | Dose expressed as mg/week; dose_or_conc_value carries the dose BAND exactly as printed where the source reports a band rather than a single dose.;verified_against_source"
TMSR129,TOLG014,clinical,human,patient_cohort,blood,systemic_dose,>475,mg,"steady state, drug elimination phase (>=5 days post dose)",coagulation,abnormal_PT_incidence_gt1.2,0.0,pct_incidence,no_change,0pct_vs_1.3pct_placebo,0,FALSE,human_clinical,CROOKE2017,PMID 28145801; PMCID PMC5467133; doi:10.1089/nat.2016.0650,"Supplementary Table S12, PT row '>1.2 x ULN, or BSLN if >ULN', dose group >475 mg/week",summary_stat,"0 of 19 subjects | Grade rationale: coagulation-time abnormality is not a platelet endpoint and shows no dose-dependent excess over placebo -> grade 0 | Supplementary Table S12: incidence of abnormal coagulation times in randomized placebo-controlled trials during STEADY-STATE conditions of the drug ELIMINATION phase (last measure collected >=5 days after a dose and before end of treatment period). Subjects had to have received at least two doses. Data from the FXI ASO trials were EXCLUDED because of the known pharmacological effect on APTT. Article conclusion: no dose-dependent effect of 2'MOE ASO treatment on the incidence of abnormalities in these coagulation tests compared with placebo. | Coagulation-time readout, NOT a platelet measurement (is_platelet_specific FALSE). Graded 0 under the schema rubric because grade 0 = 'no platelet signal at tested exposure'; a prolonged APTT/PT is not a platelet endpoint and the source reports no dose-dependent excess over placebo. | Dose expressed as mg/week; dose_or_conc_value carries the dose BAND exactly as printed where the source reports a band rather than a single dose.;verified_against_source"
TMSR130,TOLG014,clinical,human,patient_cohort,blood,systemic_dose,>75-175,mg,"steady state, drug elimination phase (>=5 days post dose)",coagulation,abnormal_PT_incidence_gt1.2,0.0,pct_incidence,no_change,0pct_vs_1.3pct_placebo,0,FALSE,human_clinical,CROOKE2017,PMID 28145801; PMCID PMC5467133; doi:10.1089/nat.2016.0650,"Supplementary Table S12, PT row '>1.2 x ULN, or BSLN if >ULN', dose group >75-175 mg/week",summary_stat,"0 of 105 subjects | Grade rationale: coagulation-time abnormality is not a platelet endpoint and shows no dose-dependent excess over placebo -> grade 0 | Supplementary Table S12: incidence of abnormal coagulation times in randomized placebo-controlled trials during STEADY-STATE conditions of the drug ELIMINATION phase (last measure collected >=5 days after a dose and before end of treatment period). Subjects had to have received at least two doses. Data from the FXI ASO trials were EXCLUDED because of the known pharmacological effect on APTT. Article conclusion: no dose-dependent effect of 2'MOE ASO treatment on the incidence of abnormalities in these coagulation tests compared with placebo. | Coagulation-time readout, NOT a platelet measurement (is_platelet_specific FALSE). Graded 0 under the schema rubric because grade 0 = 'no platelet signal at tested exposure'; a prolonged APTT/PT is not a platelet endpoint and the source reports no dose-dependent excess over placebo. | Dose expressed as mg/week; dose_or_conc_value carries the dose BAND exactly as printed where the source reports a band rather than a single dose.;verified_against_source"
